name1,name2,type1,type2,v1,v2,e_v1,e_v2,B1,B2,L10,vbar,Rp,Vp,MLp,Rp_recomputed,Vp_recomputed,sigma_Vp
NGC 4428,NGC 4433,Sc,Sab,2993,3000,8,6,12.8,12.7,8.888440965719107,2996.661067111083,59.6,3.3,0.015,60.323361845559006,3.3792696090664753,4.827528012952108
ESO 079-G002,ESO 079-G003,SBd,SBb,2756,2616,27,10,13.0,12.5,7.237314417448437,2670.16084517856,65.0,71.9,7.8,65.44960132451594,72.37727404330114,14.885089551072413
ESO 323-G089,ESO 323-G0926,S0,E,2911,3217,42,32,13.2,13.6,5.093988224193874,3036.1308675276273,284.6,178.4,210.1,283.86739255882804,177.84245610805237,30.687422016032393
NGC 7125,NGC 7126,Sc,Sbc,3148,2981,1,2,12.4,12.4,12.81767449186504,3064.4999999999995,47.0,71.4,5.6,47.03320163857232,71.3586663960419,0.9554660409896985
ESO 512-G018,ESO 512-G019,S0,Sa,3488,3734,20,20,12.5,12.4,17.067338155730248,3616.6603584752006,4.5,96.6,0.97,4.46153831220972,95.54614648481918,10.98558180417217
IC 4721,IC 4720,Sc,SBcd,2245,2051,9,10,11.3,12.5,12.0736456903811,2196.74071394554,48.9,84.3,8.1,49.05019630813064,84.56466269372082,5.864439069839791
IC 5328B,IC 5328,Sc,E,3091,3189,10,15,14.1,12.2,9.704985941146248,3174.4909378935517,119.4,46.1,5.9,118.73399369245325,45.94389091874314,8.45168645417616
IC 5064,IC 5063,SBa,S0,3360,3402,24,6,13.8,12.6,8.69116145574778,3391.552113328416,104.2,20.3,1.0,104.83941127117605,20.42788249753728,12.0323310350075
IC 4888,IC 4889,S0,E5,2490,2526,100,20,14.5,11.9,7.512703360507303,2522.9911695745027,56.7,18.4,0.45,56.59066394758213,18.381054401837403,52.06964170854415
NGC 5812,MCG-01-38-014,E0,Sdm,2010,2095,41,3,11.9,12.6,6.858326880494084,2039.2552569974464,208.9,44.4,9.6,210.36505850732001,44.73830564277334,21.63734445109473
NGC 5916,NGC 5915,SBa,SBab,2302,2273,40,4,13.2,12.0,6.827033763261801,2280.2140169875224,33.3,15.2,0.18,33.44550782051317,15.286943050578694,21.190603625582654
NGC 5012,UGC 08290,Sc,Sm,2619,2581,5,5,12.3,14.0,6.173781444493415,2612.4327646445995,130.8,20.8,1.3,130.94093605656045,20.714121194949076,3.8544988324390745
ESO 287-G009,ESO 287-G013,Sbc,Sc,2715,2715,9,5,13.4,12.1,8.63394013349621,2715.0,236.7,0.0,0.0,235.6262745039087,0.0,5.0186077735322705
