NGC 2782          UGC 04867         182.15100  43.67783 2562   5 Sa   12.0 361.9   34.6  10.1   
NGC 1266          NGC 1253          183.66838 -47.50742 2194  36 SB0  13.7 216.6  278.2 389.0
NGC 1253          NGC 1266          183.69053 -48.11774 1710   5 Scd  11.6 216.6  278.2 389.0   
NGC 1172          MCG-03-08-057     197.48362 -57.35391 1669   8 E    12.6 362.8  125.1 131.7
MCG-03-08-057     NGC 1172          198.76815 -57.99054 1490  56 Sd   12.6 362.8  125.1 131.7   
NGC 2480          NGC 2481          197.58757  24.47502 2345   1 Sc   14.0  10.5    9.2   0.021
NGC 2481          NGC 2480          197.60698  24.47938 2332  10 S    13.1  10.5    9.2   0.021 
NGC 3032          NGC 3026          199.01143  50.67185 1533   5 S0   12.9 316.7   35.1   9.1
NGC 3026          NGC 3032          200.01429  50.30532 1490   4 Im   13.1 316.7   35.1   9.1   
NGC 1199          NGC 1209          199.17953 -57.26433 2570   5 E3   12.2 238.2   20.0   2.2
NGC 1209          NGC 1199          199.64278 -56.74246 2614  20 E6   12.3 238.2   20.0   2.2   
UGC 04375         NGC 2577          201.03948  29.72149 2059  10 Sc   12.5  71.1    9.5   0.15
NGC 2577          UGC 04375         201.12029  29.58181 2074  23 S0   13.3  71.1    9.5   0.15  
NGC 3900          NGC 3912          209.80702  76.14562 1798   5 S0   12.2 234.2   12.2   0.81
NGC 3912          NGC 3900          212.15579  76.30116 1779   7 Sb   13.0 234.2   12.2   0.81  
NGC 2872          NGC 2874          220.53084  39.36259 3014  36 E2   12.6  10.5  317.6  24.6
NGC 2874          NGC 2872          220.55089  39.37686 3775   4 SBbc 12.5  10.5  317.6  24.6   
NGC 2962          NGC 2966          229.99593  39.66905 1966   6 S0   12.6 258.1   48.9  14.3
NGC 2966          NGC 2962          230.76107  39.68492 2044   7 SB   12.8 258.1   48.9  14.3   
MCG-02-25-013     NGC 2979          245.46762  31.24506 2697   9 Sd   13.8 286.7   15.9   1.7
NGC 2979          MCG-02-25-013     245.82774  30.93178 2720  15 Sa   13.6 286.7   15.9   1.7   
NGC 0986          NGC 0986A         248.69034 -65.63595 2005   7 SBb  11.5 110.6  320.6 263.7
NGC 0986A         NGC 0986          249.41163 -65.69992 1399  27 SBdm 14.4 110.6  320.6 263.7   
NGC 2992          NGC 2993          249.70615  28.78097 2311   4 Sa   12.2  20.6   56.2   1.51
NGC 2993          NGC 2992          249.76065  28.77132 2420   9 Sa   12.8  20.6   56.2   1.51  
NGC 3872          UGC 06758         250.76972  69.67473 3186  27 E5   12.6 177.3   39.1   6.3
UGC 06758         NGC 3872          251.52328  69.85921 3108   1 S    13.6 177.3   39.1   6.3   
NGC 3145          NGC 3143          252.98249  34.36711 3652   6 SBbc 11.8  74.4   45.4   3.6
NGC 3143          NGC 3145          253.08546  34.24415 3536  62 SBb  14.5  74.4   45.4   3.6   
ESO 122-IG002     ESO 122-IG001     267.98552 -24.22420 2744  18 S    14.5  28.3   40.9   1.1
ESO 122-IG001     ESO 122-IG002     268.04254 -24.24329 2669  30 Sbc  12.3  28.3   40.9   1.1   
ESO 378-G003      NGC 3706          284.78942  23.37544 3023  10 Sc   13.1 161.9   19.5   1.4
NGC 3706          ESO 378-G003      285.07485  23.63002 2977  14 S0   11.9 161.9   19.5   1.4   
NGC 4428          NGC 4433          292.75329  54.22928 2993   8 Sc   12.8  59.6    3.3   0.015
NGC 4433          NGC 4428          292.85395  54.12536 3000   6 Sab  12.7  59.6    3.3   0.015 
ESO 079-G002      ESO 079-G003      306.38752 -52.60737 2756  27 SBd  13.0  65.0   71.9   7.8
ESO 079-G003      ESO 079-G002      306.40743 -52.74266 2616  10 SBb  12.5  65.0   71.9   7.8   
ESO 323-G089      ESO 323-G0926     306.94401  23.11659 2911  42 S0   13.2 284.6  178.4 210.1
ESO 323-G0926     ESO 323-G089      307.25863  22.75820 3217  32 E    13.6 284.6  178.4 210.1   
NGC 7125          NGC 7126          332.32200 -44.63784 3148   1 Sc   12.4  47.0   71.4   5.6
NGC 7126          NGC 7125          332.44698 -44.68967 2981   2 Sbc  12.4  47.0   71.4   5.6   
ESO 512-G018      ESO 512-G019      333.13739  31.75155 3488  20 S0   12.5   4.5   96.6   0.97
ESO 512-G019      ESO 512-G018      333.14231  31.74347 3734  20 Sa   12.4   4.5   96.6   0.97  
IC 4721           IC 4720           336.79652 -20.74848 2245   9 Sc   11.3  48.9   84.3   8.1
IC 4720           IC 4721           336.85146 -20.61103 2051  10 SBcd 12.5  48.9   84.3   8.1   
IC 5328B          IC 5328           338.34571 -66.22624 3091  10 Sc   14.1 119.4   46.1   5.9
IC 5328           IC 5328B          338.90431 -66.26636 3189  15 E    12.2 119.4   46.1   5.9   
IC 5064           IC 5063           339.76807 -38.78957 3360  24 SBa  13.8 104.2   20.3   1.0
IC 5063           IC 5064           339.99078 -38.73486 3402   6 S0   12.6 104.2   20.3   1.0   
IC 4888           IC 4889           343.40302 -29.37685 2490 100 S0   14.5  56.7   18.4   0.45
IC 4889           IC 4888           343.53824 -29.42112 2526  20 E5   11.9  56.7   18.4   0.45  
NGC 5812          MCG-01-38-014     349.80657  43.32280 2010  41 E0   11.9 208.9   44.4   9.6
MCG-01-38-014     NGC 5812          349.89844  43.88032 2095   3 Sdm  12.6 208.9   44.4   9.6   
NGC 5916          NGC 5915          349.85816  35.67444 2302  40 SBa  13.2  33.3   15.2   0.18
NGC 5915          NGC 5916          349.90444  35.74474 2273   4 SBab 12.0  33.3   15.2   0.18  
NGC 5012          UGC 08290         351.35799  83.78549 2619   5 Sc   12.3 130.8   20.8   1.3
UGC 08290         NGC 5012          352.33491  83.54513 2581   5 Sm   14.0 130.8   20.8   1.3   
ESO 287-G009      ESO 287-G013      353.65262 -44.73470 2715   9 Sbc  13.4 236.7    0.0   0.0
ESO 287-G013      ESO 287-G009      354.13751 -45.11190 2715   5 Sc   12.1 236.7    0.0   0.0
